frequency	alpha	beta
10000000	0.034806	0.321358
32002400.48	0.047904	0.983678
54004800.96	0.063587	1.622077
76007201.44	0.077857	2.264194
98009601.92	0.090684	2.909512
120012002.4	0.101552	3.553834
142014402.9	0.113348	4.196099
164016803.4	0.118909	4.841298
186019203.8	0.12752	5.481048
208021604.3	0.132731	6.121687
230024004.8	0.139556	6.758509
252026405.3	0.148067	7.398119
274028805.8	0.160675	8.037966
296031206.2	0.173132	8.676015
318033606.7	0.177609	9.315045
340036007.2	0.185351	9.955566
362038407.7	0.18887	10.59233
384040808.2	0.196141	11.228395
406043208.6	0.203776	11.864023
428045609.1	0.212608	12.500927
450048009.6	0.220623	13.139595
472050410.1	0.227607	13.778263
494052810.6	0.228958	14.417407
516055211	0.235742	15.053244
538057611.5	0.243253	15.688267
560060012	0.250336	16.324752
582062412.5	0.255908	16.961355
604064813	0.261273	17.598149
626067213.4	0.264294	18.233078
648069613.9	0.26897	18.868406
670072014.4	0.274404	19.500941
692074414.9	0.279839	20.135068
714076815.4	0.287399	20.769352
736079215.8	0.293953	21.404614
758081616.3	0.298492	22.041807
780084016.8	0.302488	22.677571
802086417.3	0.306357	23.310554
824088817.8	0.310691	23.944304
846091218.2	0.316368	24.57807
868093618.7	0.321541	25.21202
890096019.2	0.327467	25.848596
912098419.7	0.331781	26.484309
934100820.2	0.341842	27.117663
956103220.6	0.340868	27.745506
978105621.1	0.344548	28.380436
1000108022	0.349048	29.015659
1022110422	0.354075	29.649752
1044112823	0.357193	30.285308
1066115223	0.360762	30.920596
1088117624	0.363683	31.553863
1110120024	0.369119	32.184859
1132122424	0.373596	32.819111
1154124825	0.379616	33.452952
1176127225	0.38312	34.088094
1198129626	0.387662	34.722326
1220132026	0.39131	35.357371
1242134427	0.392257	35.990932
1264136827	0.397352	36.623075
1286139228	0.401623	37.256721
1308141628	0.407287	37.890132
1330144029	0.410988	38.525719
1352146429	0.415748	39.161159
1374148830	0.421812	39.797255
1396151230	0.4334	40.433237
1418153631	0.440106	41.06922
1440156031	0.435335	41.703823
1462158432	0.435957	42.340121
1484160832	0.439921	42.974741
1506163233	0.441265	43.608923
1528165633	0.445104	44.242165
1550168034	0.446902	44.875138
1572170434	0.453054	45.509269
1594172835	0.456498	46.141706
1616175235	0.461599	46.776792
1638177636	0.464256	47.411129
1660180036	0.468295	48.046175
1682182436	0.469652	48.677926
1704184837	0.473087	49.311597
1726187237	0.477152	49.942794
1748189638	0.483152	50.576915
1770192038	0.486095	51.211617
1792194439	0.489744	51.84679
1814196839	0.494715	52.483093
1836199240	0.499682	53.12001
1858201640	0.51159	53.758325
1880204041	0.538692	54.372327
1902206441	0.520605	54.988727
1924208842	0.515714	55.62782
1946211242	0.516305	56.263116
1968213643	0.517818	56.898121
1990216043	0.52126	57.530105
2012218444	0.523832	58.163585
2034220844	0.52944	58.796843
2056223245	0.532977	59.430683
2078225645	0.53492	60.066681
2100228046	0.536993	60.698324
2122230446	0.540603	61.331851
2144232847	0.544359	61.961677
2166235247	0.546445	62.596547
2188237648	0.552194	63.227317
2210240048	0.555517	63.861194
2232242448	0.560043	64.494975
2254244849	0.561294	65.129009
2276247249	0.563629	65.759936
2298249650	0.566996	66.392587
2320252050	0.571777	67.025904
2342254451	0.575894	67.657248
2364256851	0.579421	68.288591
2386259252	0.581073	68.921484
2408261652	0.584497	69.554918
2430264053	0.585842	70.18676
2452266453	0.591942	70.81842
2474268854	0.594443	71.451605
2496271254	0.599497	72.084979
2518273655	0.601589	72.718619
2540276055	0.605316	73.352508
2562278456	0.606259	73.981966
2584280856	0.609763	74.615554
2606283257	0.61236	75.246353
2628285657	0.618314	75.880474
2650288058	0.624004	76.510736
2672290458	0.624303	77.146126
2694292859	0.627585	77.78025
2716295259	0.630094	78.414118
2738297660	0.633329	79.046499
2760300060	0.63937	79.679901
2782302460	0.646175	80.315997
2804304861	0.659932	80.949326
2826307261	0.671074	81.565396
2848309662	0.660465	82.188967
2870312062	0.655208	82.823692
2892314463	0.659402	83.455835
2914316863	0.65952	84.092594
2936319264	0.661457	84.727542
2958321664	0.66512	85.360233
2980324065	0.667992	85.992543
3002326465	0.670494	86.625801
3024328866	0.67252	87.257073
3046331266	0.67589	87.889636
3068333667	0.680298	88.522335
3090336067	0.682828	89.15625
3112338468	0.685609	89.78883
3134340868	0.689136	90.422785
3156343269	0.692398	91.054356
3178345669	0.696384	91.687106
3200348070	0.699389	92.321894
3222350470	0.704818	92.956616
3244352871	0.710356	93.592194
3266355271	0.722066	94.228794
3288357672	0.745139	94.850517
3310360072	0.742661	95.47224
3332362472	0.72845	96.10073
3354364873	0.725001	96.736514
3376367273	0.725518	97.370773
3398369674	0.728035	98.004955
3420372074	0.7278	98.637911
3442374475	0.731826	99.270875
3464376875	0.733691	99.903353
3486379276	0.735806	100.535736
3508381676	0.741137	101.168099
3530384077	0.741054	101.801239
3552386477	0.744631	102.434156
3574388878	0.746904	103.065591
3596391278	0.750932	103.699109
3618393679	0.753883	104.329922
3640396079	0.757616	104.962029
3662398480	0.760652	105.594437
3684400880	0.763456	106.226707
3706403281	0.767452	106.860666
3728405681	0.770431	107.492604
3750408082	0.778187	108.126405
3772410482	0.785956	108.75074
3794412883	0.784624	109.378533
3816415283	0.783946	110.011455
3838417684	0.784896	110.64294
3860420084	0.788609	111.275342
3882422484	0.789318	111.90717
3904424885	0.792899	112.540062
3926427285	0.795648	113.171246
3948429686	0.798851	113.803962
3970432086	0.80248	114.4358
3992434487	0.803343	115.067865
4014436887	0.806754	115.698903
4036439288	0.809342	116.330506
4058441688	0.811288	116.963973
4080444089	0.814386	117.59443
4102446489	0.816555	118.22732
4124448890	0.820971	118.859168
4146451290	0.823212	119.492054
4168453691	0.825718	120.122505
4190456091	0.828717	120.754123
4212458492	0.831707	121.386288
4234460892	0.835529	122.018425
4256463293	0.839112	122.650562
4278465693	0.839269	123.282059
4300468094	0.842109	123.911938
4322470494	0.845237	124.544932
4344472895	0.84875	125.177186
4366475295	0.850699	125.810081
4388477696	0.853605	126.441508
4410480096	0.855713	127.074388
4432482496	0.858547	127.706293
4454484897	0.860118	128.338138
4476487297	0.863857	128.974092
4498489698	0.866609	129.607314
4520492098	0.870163	130.239773
4542494499	0.874506	130.870755
4564496899	0.879841	131.505591
4586499300	0.882656	132.138758
4608501700	0.88778	132.774472
4630504101	0.89491	133.411764
4652506501	0.905125	134.048691
4674508902	0.924696	134.686843
4696511302	0.954367	135.312101
4718513703	0.973068	135.90349
4740516103	0.949199	136.50582
4762518504	0.927912	137.139098
4784520904	0.921127	137.777508
4806523305	0.917561	138.414526
4828525705	0.917272	139.051546
4850528106	0.918002	139.688766
4872530506	0.918282	140.324282
4894532907	0.921631	140.955848
4916535307	0.924294	141.589837
4938537708	0.927354	142.224073
4960540108	0.929135	142.857644
4982542509	0.933287	143.492161
5004544909	0.935088	144.126428
5026547309	0.939444	144.761084
5048549710	0.941884	145.394603
5070552110	0.947014	146.030348
5092554511	0.952241	146.666186
5114556911	0.959711	147.301682
5136559312	0.969403	147.938826
5158561712	0.990313	148.574685
5180564113	1.014722	149.184692
5202566513	1.008504	149.794699
5224568914	0.986179	150.42197
5246571314	0.977853	151.057131
5268573715	0.9744	151.693383
5290576115	0.972369	152.33139
5312578516	0.97409	152.965149
5334580916	0.976134	153.599711
5356583317	0.976873	154.235552
5378585717	0.980177	154.865193
5400588118	0.982791	155.499039
5422590518	0.985274	156.132665
5444592919	0.986709	156.765014
5466595319	0.989461	157.398487
5488597720	0.992309	158.031113
5510600120	0.996591	158.662505
5532602521	0.998531	159.296555
5554604921	1.001498	159.924903
5576607321	1.005778	160.558552
5598609722	1.009926	161.192037
5620612122	1.016731	161.824866
5642614523	1.02539	162.456494
5664616923	1.032626	163.072318
5686619324	1.028616	163.696973
5708621724	1.023609	164.328901
5730624125	1.022839	164.961721
5752626525	1.023868	165.593527
5774628926	1.024018	166.227215
5796631326	1.028183	166.858786
5818633727	1.029148	167.490688
5840636127	1.032499	168.122923
5862638528	1.035312	168.753792
5884640928	1.037623	169.3854
5906643329	1.039591	170.0173
5928645729	1.044535	170.6489
5950648130	1.047897	171.279299
5972650530	1.049543	171.910116
5994652931	1.049052	172.543642
6016655331	1.053293	173.173122
6038657732	1.055336	173.806171
6060660132	1.058445	174.437628
6082662533	1.063392	175.068502
6104664933	1.069996	175.702362
6126667333	1.074765	176.329115
6148669734	1.076526	176.955869
6170672134	1.075583	177.58569
6192674535	1.075889	178.218392
6214676935	1.07817	178.850434
6236679336	1.079608	179.482784
6258681736	1.082935	180.114967
6280684137	1.08474	180.747472
6302686537	1.08717	181.380016
6324688938	1.091852	182.011764
6346691338	1.09493	182.643359
6368693739	1.09786	183.273258
6390696139	1.099288	183.903042
6412698540	1.100293	184.536324
6434700940	1.103533	185.16888
6456703341	1.105284	185.801764
6478705741	1.110034	186.43516
6500708142	1.112945	187.068231
6522710542	1.116334	187.70601
6544712943	1.125605	188.337439
6566715343	1.137464	188.971547
6588717744	1.154966	189.598027
6610720144	1.163545	190.207953
6632722545	1.153279	190.825098
6654724945	1.143979	191.455665
6676727345	1.140106	192.088655
6698729746	1.138526	192.723805
6720732146	1.139042	193.357702
6742734547	1.140167	193.990866
6764736947	1.143736	194.62345
6786739348	1.146002	195.255664
6808741748	1.149488	195.886088
6830744149	1.148949	196.519192
6852746549	1.150996	197.149203
6874748950	1.153278	197.783399
6896751350	1.155105	198.418468
6918753751	1.159188	199.049598
6940756151	1.16181	199.684416
6962758552	1.165481	200.318279
6984760952	1.17165	200.948406
7006763353	1.177799	201.583347
7028765753	1.184577	202.219244
7050768154	1.199896	202.84727
7072770554	1.21554	203.46687
7094772955	1.212134	204.08647
7116775355	1.201916	204.711259
7138777756	1.197178	205.342709
7160780156	1.194098	205.976712
7182782557	1.195695	206.607443
7204784957	1.19505	207.243558
7226787357	1.197048	207.876493
7248789758	1.198918	208.509041
7270792158	1.201618	209.138757
7292794559	1.202957	209.772015
7314796959	1.204263	210.40793
7336799360	1.208194	211.038734
7358801760	1.208134	211.674857
7380804161	1.210797	212.307289
7402806561	1.21542	212.939993
7424808962	1.21818	213.574386
7446811362	1.220887	214.207408
7468813763	1.22655	214.841547
7490816163	1.233989	215.473554
7512818564	1.241721	216.108666
7534820964	1.256024	216.735549
7556823365	1.262421	217.351642
7578825765	1.25558	217.971553
7600828166	1.250228	218.601395
7622830566	1.246036	219.236274
7644832967	1.247835	219.870084
7666835367	1.248176	220.500694
7688837768	1.250029	221.130076
7710840168	1.248915	221.765973
7732842569	1.249849	222.399577
7754844969	1.251186	223.03185
7776847369	1.253448	223.665505
7798849770	1.256563	224.297943
7820852170	1.257745	224.930018
7842854571	1.260788	225.564584
7864856971	1.263594	226.196466
7886859372	1.266013	226.830523
7908861772	1.270477	227.463734
7930864173	1.273774	228.096888
7952866573	1.280193	228.728322
7974868974	1.285026	229.360596
7996871374	1.295322	229.98804
8018873775	1.303447	230.615535
8040876175	1.306466	231.24303
8062878576	1.30103	231.872324
8084880976	1.29754	232.501871
8106883377	1.297202	233.133878
8128885777	1.298332	233.763776
8150888178	1.298126	234.396405
8172890578	1.297945	235.03191
8194892979	1.300662	235.662998
8216895379	1.302996	236.296013
8238897780	1.304465	236.928686
8260900180	1.306128	237.565538
8282902581	1.308357	238.19828
8304904981	1.311934	238.831123
8326907381	1.31489	239.465351
8348909782	1.319351	240.097547
8370912182	1.325367	240.731467
8392914583	1.329681	241.366808
8414916983	1.336059	242.004463
8436919384	1.346254	242.639883
8458921784	1.364008	243.27362
8480924185	1.389734	243.893235
8502926585	1.402201	244.496627
8524928986	1.391449	245.102935
8546931386	1.37355	245.73028
8568933787	1.364353	246.361186
8590936187	1.358679	246.995158
8612938588	1.356619	247.631016
8634940988	1.352831	248.268927
8656943389	1.356098	248.900915
8678945789	1.35745	249.53507
8700948190	1.357678	250.171762
8722950590	1.361041	250.80197
8744952991	1.362924	251.436622
8766955391	1.36582	252.067081
8788957792	1.367269	252.70018
8810960192	1.36973	253.333846
8832962593	1.372208	253.969111
8854964993	1.374836	254.605895
8876967393	1.379649	255.241039
8898969794	1.387213	255.875632
8920972194	1.398265	256.50705
8942974595	1.414074	257.137935
8964976995	1.426735	257.754533
8986979396	1.427621	258.371132
9008981796	1.414682	258.996505
9030984197	1.408236	259.62376
9052986597	1.401835	260.259359
9074988998	1.401014	260.891694
9096991398	1.399401	261.527932
9118993799	1.402783	262.158536
9140996199	1.403512	262.791283
9162998600	1.404193	263.424057
9185001000	1.406378	264.056689
9207003401	1.406552	264.691935
9229005801	1.409137	265.3247
9251008202	1.413228	265.953726
9273010602	1.416526	266.585714
9295013003	1.418373	267.217942
9317015403	1.419044	267.85372
9339017804	1.423634	268.48496
9361020204	1.42744	269.115634
9383022605	1.429949	269.745216
9405025005	1.432034	270.376773
9427027405	1.435245	271.006083
9449029806	1.439778	271.633536
9471032206	1.439414	272.265106
9493034607	1.440964	272.895946
9515037007	1.441682	273.52661
9537039408	1.442298	274.157979
9559041808	1.44523	274.789861
9581044209	1.44607	275.420141
9603046609	1.449112	276.05
9625049010	1.450544	276.683962
9647051410	1.453883	277.315745
9669053811	1.456331	277.947145
9691056211	1.458557	278.577669
9713058612	1.460793	279.209027
9735061012	1.464553	279.840813
9757063413	1.466249	280.471766
9779065813	1.470869	281.102018
9801068214	1.471972	281.7307
9823070614	1.473477	282.361581
9845073015	1.47567	282.990796
9867075415	1.477391	283.624734
9889077816	1.480283	284.255346
9911080216	1.483873	284.88551
9933082617	1.485099	285.515675
9955085017	1.486302	286.145243
9977087417	1.48699	286.775882
9999089818	1.488965	287.407645
1.002109222e+10	1.490699	288.039725
1.004309462e+10	1.493369	288.671436
1.006509702e+10	1.496034	289.30253
1.008709942e+10	1.498174	289.933432
1.010910182e+10	1.501273	290.56519
1.013110422e+10	1.505507	291.193913
1.015310662e+10	1.507276	291.829069
1.017510902e+10	1.510523	292.458718
1.019711142e+10	1.515724	293.090852
1.021911382e+10	1.518555	293.721493
1.024111622e+10	1.519126	294.350393
1.026311862e+10	1.520068	294.982893
1.028512102e+10	1.522862	295.61391
