frequency	alpha_c	alpha_d	Er_right	Er_wrong
1.000E-02	0.029298478	0.000559449	2.354295673	1.872794201
3.200E-02	0.052412676	0.00179037	2.153890289	1.872794201
5.400E-02	0.068086536	0.003021291	2.056652727	1.872794201
7.601E-02	0.080774155	0.004252212	2.023021781	1.872794201
9.801E-02	0.091723236	0.005483133	2.009027251	1.872794201
1.200E-01	0.101497979	0.006714054	1.999068541	1.872794201
1.420E-01	0.110410722	0.007944975	1.990258286	1.872794201
1.640E-01	0.118655869	0.009175896	1.986230825	1.872794201
1.860E-01	0.126364169	0.010406817	1.979221597	1.872794201
2.080E-01	0.133628556	0.011637738	1.974277204	1.872794201
2.300E-01	0.140517895	0.012868659	1.968059593	1.872794201
2.520E-01	0.147084895	0.01409958	1.9644153	1.872794201
2.740E-01	0.153370969	0.015330501	1.961474499	1.872794201
2.960E-01	0.159409354	0.016561422	1.958160887	1.872794201
3.180E-01	0.165227207	0.017792343	1.955719916	1.872794201
3.400E-01	0.170847059	0.019023264	1.95418137	1.872794201
3.620E-01	0.176287848	0.020254186	1.951445764	1.872794201
3.840E-01	0.181565672	0.021485107	1.948782572	1.872794201
4.060E-01	0.186694352	0.022716028	1.946266156	1.872794201
4.280E-01	0.19168586	0.023946949	1.944406741	1.872794201
4.500E-01	0.196550646	0.02517787	1.94325163	1.872794201
4.721E-01	0.2012979	0.026408791	1.942204495	1.872794201
4.941E-01	0.205935748	0.027639712	1.941379062	1.872794201
5.161E-01	0.210471423	0.028870633	1.939771792	1.872794201
5.381E-01	0.214911395	0.030101554	1.938095432	1.872794201
5.601E-01	0.219261478	0.031332475	1.936898339	1.872794201
5.821E-01	0.223526919	0.032563396	1.935819011	1.872794201
6.041E-01	0.227712475	0.033794317	1.934860579	1.872794201
6.261E-01	0.231822473	0.035025238	1.933574148	1.872794201
6.481E-01	0.235860863	0.036256159	1.932457181	1.872794201
6.701E-01	0.239831263	0.03748708	1.930860728	1.872794201
6.921E-01	0.243736994	0.038718002	1.929671513	1.872794201
7.141E-01	0.247581118	0.039948923	1.928585073	1.872794201
7.361E-01	0.251366461	0.041179844	1.92774002	1.872794201
7.581E-01	0.25509564	0.042410765	1.927281859	1.872794201
7.801E-01	0.258771083	0.043641686	1.926606779	1.872794201
8.021E-01	0.262395048	0.044872607	1.925509382	1.872794201
8.241E-01	0.265969639	0.046103528	1.92459417	1.872794201
8.461E-01	0.269496821	0.047334449	1.923729264	1.872794201
8.681E-01	0.272978432	0.04856537	1.922936447	1.872794201
8.901E-01	0.276416194	0.049796291	1.922573593	1.872794201
9.121E-01	0.279811723	0.051027212	1.92210301	1.872794201
9.341E-01	0.283166537	0.052258133	1.921320358	1.872794201
9.561E-01	0.286482069	0.053489054	1.91981115	1.872794201
9.781E-01	0.289759665	0.054719975	1.919328841	1.872794201
1.000E+00	0.2930006	0.055950896	1.918906564	1.872794201
1.022E+00	0.296206075	0.057181817	1.918356287	1.872794201
1.044E+00	0.299377232	0.058412739	1.918014576	1.872794201
1.066E+00	0.302515148	0.05964366	1.91765376	1.872794201
1.088E+00	0.305620848	0.060874581	1.917061983	1.872794201
1.110E+00	0.308695303	0.062105502	1.916223322	1.872794201
1.132E+00	0.311739439	0.063336423	1.915797548	1.872794201
1.154E+00	0.314754136	0.064567344	1.915340986	1.872794201
1.176E+00	0.31774023	0.065798265	1.915047736	1.872794201
1.198E+00	0.320698521	0.067029186	1.914664915	1.872794201
1.220E+00	0.323629772	0.068260107	1.914383977	1.872794201
1.242E+00	0.32653471	0.069491028	1.913955169	1.872794201
1.264E+00	0.329414032	0.070721949	1.913393166	1.872794201
1.286E+00	0.332268404	0.07195287	1.913004812	1.872794201
1.308E+00	0.335098464	0.073183791	1.912605838	1.872794201
1.330E+00	0.337904821	0.074414712	1.912436129	1.872794201
1.352E+00	0.340688063	0.075645633	1.912257596	1.872794201
1.374E+00	0.34344875	0.076876555	1.912147824	1.872794201
1.396E+00	0.346187423	0.078107476	1.912030735	1.872794201
1.418E+00	0.348904599	0.079338397	1.911917373	1.872794201
1.440E+00	0.351600778	0.080569318	1.911680962	1.872794201
1.462E+00	0.354276439	0.081800239	1.911604729	1.872794201
1.484E+00	0.356932042	0.08303116	1.911381492	1.872794201
1.506E+00	0.359568033	0.084262081	1.911126398	1.872794201
1.528E+00	0.36218484	0.085493002	1.910797471	1.872794201
1.550E+00	0.364782875	0.086723923	1.910455002	1.872794201
1.572E+00	0.367362537	0.087954844	1.910219361	1.872794201
1.594E+00	0.369924211	0.089185765	1.909850001	1.872794201
1.616E+00	0.372468266	0.090416686	1.909707025	1.872794201
1.638E+00	0.374995063	0.091647607	1.909507558	1.872794201
1.660E+00	0.377504947	0.092878528	1.909369743	1.872794201
1.682E+00	0.379998254	0.094109449	1.908977092	1.872794201
1.704E+00	0.382475307	0.09534037	1.908743251	1.872794201
1.726E+00	0.384936421	0.096571291	1.908326319	1.872794201
1.748E+00	0.3873819	0.097802213	1.908140547	1.872794201
1.770E+00	0.389812037	0.099033134	1.908002697	1.872794201
1.792E+00	0.392227118	0.100264055	1.907902899	1.872794201
1.814E+00	0.394627419	0.101494976	1.907887681	1.872794201
1.836E+00	0.397013208	0.102725897	1.907916933	1.872794201
1.858E+00	0.399384746	0.103956818	1.90804473	1.872794201
1.880E+00	0.401742284	0.105187739	1.906464178	1.872794201
1.902E+00	0.404086068	0.10641866	1.905086978	1.872794201
1.924E+00	0.406416336	0.107649581	1.905295941	1.872794201
1.946E+00	0.408733319	0.108880502	1.905243027	1.872794201
1.968E+00	0.411037242	0.110111423	1.905171807	1.872794201
1.990E+00	0.413328322	0.111342344	1.9049021	1.872794201
2.012E+00	0.415606773	0.112573265	1.904736289	1.872794201
2.034E+00	0.417872801	0.113804186	1.904559691	1.872794201
2.056E+00	0.420126606	0.115035107	1.904424179	1.872794201
2.078E+00	0.422368385	0.116266029	1.904428379	1.872794201
2.100E+00	0.424598329	0.11749695	1.90415924	1.872794201
2.122E+00	0.426816622	0.118727871	1.904012675	1.872794201
2.144E+00	0.429023445	0.119958792	1.903641704	1.872794201
2.166E+00	0.431218975	0.121189713	1.903585073	1.872794201
2.188E+00	0.433403383	0.122420634	1.903282734	1.872794201
2.210E+00	0.435576836	0.123651555	1.903171623	1.872794201
2.232E+00	0.437739497	0.124882476	1.90305704	1.872794201
2.254E+00	0.439891527	0.126113397	1.90295948	1.872794201
2.276E+00	0.442033079	0.127344318	1.902684011	1.872794201
2.298E+00	0.444164306	0.128575239	1.902512637	1.872794201
2.320E+00	0.446285356	0.12980616	1.902382328	1.872794201
2.342E+00	0.448396372	0.131037081	1.902143529	1.872794201
2.364E+00	0.450497496	0.132268002	1.901909135	1.872794201
2.386E+00	0.452588867	0.133498923	1.901764614	1.872794201
2.408E+00	0.454670617	0.134729844	1.901652323	1.872794201
2.430E+00	0.456742879	0.135960766	1.901455806	1.872794201
2.452E+00	0.458805782	0.137191687	1.901253055	1.872794201
2.474E+00	0.460859451	0.138422608	1.901135071	1.872794201
2.496E+00	0.462904008	0.139653529	1.90102914	1.872794201
2.518E+00	0.464939575	0.14088445	1.900938969	1.872794201
2.540E+00	0.466966269	0.142115371	1.900863268	1.872794201
2.562E+00	0.468984205	0.143346292	1.9005612	1.872794201
2.584E+00	0.470993495	0.144577213	1.900474679	1.872794201
2.606E+00	0.472994249	0.145808134	1.900248751	1.872794201
2.628E+00	0.474986576	0.147039055	1.900192996	1.872794201
2.650E+00	0.476970581	0.148269976	1.899946504	1.872794201
2.672E+00	0.478946368	0.149500897	1.899956664	1.872794201
2.694E+00	0.480914037	0.150731818	1.899904809	1.872794201
2.716E+00	0.482873688	0.151962739	1.899841391	1.872794201
2.738E+00	0.484825419	0.15319366	1.899707518	1.872794201
2.760E+00	0.486769324	0.154424582	1.899624467	1.872794201
2.782E+00	0.488705496	0.155655503	1.899670169	1.872794201
2.804E+00	0.490634029	0.156886424	1.899585288	1.872794201
2.826E+00	0.49255501	0.158117345	1.898698128	1.872794201
2.848E+00	0.494468528	0.159348266	1.898171335	1.872794201
2.870E+00	0.49637467	0.160579187	1.898163913	1.872794201
2.892E+00	0.498273521	0.161810108	1.898039156	1.872794201
2.914E+00	0.500165162	0.163041029	1.898124666	1.872794201
2.936E+00	0.502049676	0.16427195	1.898127752	1.872794201
2.958E+00	0.503927142	0.165502871	1.89803042	1.872794201
2.980E+00	0.50579764	0.166733792	1.897917709	1.872794201
3.002E+00	0.507661245	0.167964713	1.897848192	1.872794201
3.024E+00	0.509518035	0.169195634	1.897693302	1.872794201
3.046E+00	0.511368082	0.170426555	1.897596404	1.872794201
3.068E+00	0.513211461	0.171657476	1.897506726	1.872794201
3.090E+00	0.515048242	0.172888397	1.897470088	1.872794201
3.112E+00	0.516878496	0.174119319	1.897377545	1.872794201
3.134E+00	0.518702291	0.17535024	1.897344008	1.872794201
3.156E+00	0.520519697	0.176581161	1.89721159	1.872794201
3.178E+00	0.522330779	0.177812082	1.897129801	1.872794201
3.200E+00	0.524135603	0.179043003	1.897132894	1.872794201
3.222E+00	0.525934234	0.180273924	1.897133252	1.872794201
3.244E+00	0.527726734	0.181504845	1.897168307	1.872794201
3.266E+00	0.529513167	0.182735766	1.897244047	1.872794201
3.288E+00	0.531293593	0.183966687	1.896723736	1.872794201
3.310E+00	0.533068072	0.185197608	1.896210412	1.872794201
3.332E+00	0.534836664	0.186428529	1.895970939	1.872794201
